auction_id,bidder_id,time,factor_1,factor_2,prob,click
0,A,2020-01-01 00:00:00,3.133334987477579,9.753830017928369,0.0004449357383794299,0.0
0,B,2020-01-01 00:00:00,1.6651161449499619,9.7090799663563,0.0016950256314749899,0.0
0,C,2020-01-01 00:00:00,0.9034190815050268,9.632182984085656,0.0032942188092278395,0.0
1,A,2020-01-01 00:00:43,5.409921975148677,9.305299638642811,0.06456200142656017,0.0
1,B,2020-01-01 00:00:43,1.6969845629677722,9.155841408646886,0.0016307355103554223,0.0
1,C,2020-01-01 00:00:43,2.610639799852902,9.292225708423173,0.002170493750006933,0.0
2,A,2020-01-01 00:01:26,3.6775651957133957,11.488234832165192,0.005545472133659354,0.0
2,B,2020-01-01 00:01:26,3.607135888126826,11.401504604636177,0.013266511885188738,0.0
2,C,2020-01-01 00:01:26,2.084467880103324,11.030389119704411,0.0011234382826835853,0.0
3,A,2020-01-01 00:02:10,4.240425231431795,10.07499628978583,0.019104887190678568,0.0
3,B,2020-01-01 00:02:10,3.1584743927011774,10.149486852091615,0.007016391716190831,0.0
3,C,2020-01-01 00:02:10,1.451872190737551,9.8851985810572,0.0011734141487419276,0.0
4,A,2020-01-01 00:02:53,3.1334596339060083,9.78769745904917,0.013786598463163153,0.0
4,B,2020-01-01 00:02:53,0.2136771366783201,9.640189764813696,0.002360034607750117,0.0
4,C,2020-01-01 00:02:53,0.09811958132337728,9.895745196002872,0.001993099160018007,0.0
5,A,2020-01-01 00:03:36,1.3291879541138936,9.998644942211435,0.004524342891204516,0.0
5,B,2020-01-01 00:03:36,1.410631174910486,10.257466432675,0.0019015789119075554,0.0
5,C,2020-01-01 00:03:36,0.045389174685017464,9.697709167430443,0.0013348261346479149,0.0
6,A,2020-01-01 00:04:19,3.116523653742785,10.380727361431113,0.0018265362963319574,0.0
6,B,2020-01-01 00:04:19,1.0037820702931142,10.31749193308265,0.0004605662298456695,0.0
6,C,2020-01-01 00:04:19,-1.398734962453371,10.111463156801198,0.0003069902336673089,0.0
7,A,2020-01-01 00:05:03,4.514547371269115,10.69667566126115,0.022968313548578277,0.0
7,B,2020-01-01 00:05:03,1.2170829547725868,10.218736526091957,0.007462598138194792,0.0
7,C,2020-01-01 00:05:03,1.0379280472169559,10.545266012447064,0.0068604691642269264,0.0
8,A,2020-01-01 00:05:46,3.675354194005596,9.934646833824145,0.017147992930167753,0.0
9,A,2020-01-01 00:06:29,1.688132525530067,9.170179329567281,0.0033051201649478795,0.0
9,B,2020-01-01 00:06:29,1.0647283986427198,9.359912560359982,0.002311609414408242,0.0
9,C,2020-01-01 00:06:29,1.3997334104514134,9.686437129164755,0.00330984041732329,0.0
10,A,2020-01-01 00:07:12,2.465929886984866,9.499280951595061,0.00596201174670381,0.0
10,B,2020-01-01 00:07:12,2.6993824425308475,9.858831487961757,0.0168425024567425,0.0
10,C,2020-01-01 00:07:12,0.5358874327012224,9.373400792293708,0.0011581850241350682,0.0
11,A,2020-01-01 00:07:55,1.3992863355720517,9.04159346285172,0.001988588853452408,0.0
11,B,2020-01-01 00:07:55,2.3623049911118947,9.134428655177892,0.004476059506530528,0.0
11,C,2020-01-01 00:07:55,1.1847278804626642,9.100390959201825,0.004103218100149349,0.0
12,A,2020-01-01 00:08:39,1.779922187180716,10.396094140535768,0.0019299786676302672,0.0
12,B,2020-01-01 00:08:39,2.9286621807013327,10.668537001462067,0.013706002649731885,0.0
12,C,2020-01-01 00:08:39,2.8460611367513327,10.436624605266784,0.007673715434722195,0.0
13,B,2020-01-01 00:09:22,0.7181924929327013,10.554457400494787,0.0050357615252443555,0.0
13,C,2020-01-01 00:09:22,2.2921007702371288,10.665212351280818,0.0018254806321560014,0.0
14,A,2020-01-01 00:10:05,4.160137670814358,10.461021096432846,0.018598277607082533,0.0
14,B,2020-01-01 00:10:05,2.1273918177360636,10.471566540749095,0.0034326762537079175,0.0
14,C,2020-01-01 00:10:05,0.9577643614766713,10.962422808387661,0.011877842776199445,0.0
15,A,2020-01-01 00:10:48,3.336813427997769,9.93163491920883,0.014875007959535126,0.0
15,B,2020-01-01 00:10:48,2.7423483799841035,9.883949828652987,0.018254404538154873,0.0
15,C,2020-01-01 00:10:48,0.30695008094481413,9.54545055233531,0.004847874736376788,0.0
16,B,2020-01-01 00:11:32,2.749724090149142,10.433871988527857,0.004493486583982158,0.0
16,C,2020-01-01 00:11:32,0.7678234579695669,10.635330335447243,0.0007513038009082878,0.0
17,A,2020-01-01 00:12:15,3.505352267962044,9.92283369448873,0.025114532884187822,0.0
17,B,2020-01-01 00:12:15,3.386220980915785,10.378720891978087,0.06171761377097682,0.0
17,C,2020-01-01 00:12:15,2.186240245836635,10.326406077981167,0.002218416663864914,0.0
18,A,2020-01-01 00:12:58,1.936977378702462,10.17068881575031,0.004138513087305879,0.0
18,C,2020-01-01 00:12:58,0.7933877169397887,10.138577793186457,0.003969609474019673,0.0
19,A,2020-01-01 00:13:41,2.2740318321234945,9.30547543059817,0.0003484595204867842,0.0
19,B,2020-01-01 00:13:41,1.695074024582111,9.553775817691514,0.0014562285874228388,0.0
19,C,2020-01-01 00:13:41,1.8702849606086254,9.468054307017114,0.007998873921635258,0.0
20,A,2020-01-01 00:14:24,3.9074995703188926,10.47308408398872,0.02140578359687642,0.0
20,B,2020-01-01 00:14:24,0.9365395676821862,10.201443199535232,0.008133885687787416,0.0
20,C,2020-01-01 00:14:24,2.045640435768097,9.881381987000758,0.005381436967895505,0.0
21,A,2020-01-01 00:15:08,2.84093135724974,9.893063142816496,0.003935256357817415,0.0
21,B,2020-01-01 00:15:08,0.38713811600754133,10.035409526781569,0.02143946222476706,0.0
21,C,2020-01-01 00:15:08,2.1728716017692955,10.109675127085545,0.0008929378333663281,0.0
22,A,2020-01-01 00:15:51,3.4956474840051834,10.507301130707077,0.011347225669610154,0.0
22,B,2020-01-01 00:15:51,2.105617914517277,10.654855272197072,0.000989782833675641,0.0
22,C,2020-01-01 00:15:51,0.8626263464701225,10.489621011389646,0.0005642321190805937,0.0
23,A,2020-01-01 00:16:34,1.496022848663664,10.489272565884411,0.012717911678678672,0.0
23,B,2020-01-01 00:16:34,1.7560182836791294,10.377157456506469,0.00943655296776691,0.0
23,C,2020-01-01 00:16:34,1.9698002153637784,10.2978330902477,0.0022457868848618514,0.0
24,B,2020-01-01 00:17:17,2.014411705194977,10.825217309945304,0.002662017310547961,0.0
24,C,2020-01-01 00:17:17,1.5733568939066032,10.987272516951844,0.006698912007966508,0.0
25,C,2020-01-01 00:18:01,0.6764035750983916,10.588858020010752,0.003399555623650349,0.0
26,A,2020-01-01 00:18:44,2.478907122353777,9.068497201683414,0.012643323736779387,0.0
26,B,2020-01-01 00:18:44,2.961842790129578,9.11949055120015,0.02822729802786612,0.0
26,C,2020-01-01 00:18:44,1.681755581806267,9.270063438138946,0.004238024143420807,0.0
27,B,2020-01-01 00:19:27,1.9490476237983148,10.039612073786424,0.0006960791838346917,0.0
27,C,2020-01-01 00:19:27,0.8483167276695526,9.365651702386126,0.0005615544408725945,0.0
28,A,2020-01-01 00:20:10,3.4462636632665706,11.548436364718105,0.02276755334299602,0.0
28,B,2020-01-01 00:20:10,3.234098266958788,11.286485828312896,0.005072868277147445,0.0
28,C,2020-01-01 00:20:10,1.11218397729674,11.112063991403103,0.0017793684406843511,0.0
29,A,2020-01-01 00:20:53,2.9984101882720404,10.461891126381175,0.01113103349223733,0.0
29,B,2020-01-01 00:20:53,3.944233226187941,10.61287595271075,0.0833598164339972,0.0
29,C,2020-01-01 00:20:53,1.6188854140076894,10.48591389562072,0.0012143733037218757,0.0
